date,rain_mm,source,lon_min,lon_max,lat_min,lat_max,rainy_day,p75_day,p90_day,p95_day,pre3_rain_sum,pre3_rainy_days,pre7_rain_sum,pre7_rainy_days,pre15_rain_sum,pre15_rainy_days,pre30_rain_sum,pre30_rainy_days,pre45_rain_sum,pre45_rainy_days,pre60_rain_sum,pre60_rainy_days,pre30_p75_days,pre30_p90_days,pre30_p95_days,pre60_p75_days,pre60_p90_days,pre60_p95_days,max_roll7_before,max_roll15_before,max_roll30_before,post3_rain_sum,post7_rain_sum,post15_rain_sum,post30_rain_sum,event_selection_score,spell_start,spell_end,spell_days,spell_rain_sum,spell_peak_rain,event_id,response_nodes_3d,trigger_probability_3d,cp_records_3d,response_nodes_7d,trigger_probability_7d,cp_records_7d,response_nodes_15d,trigger_probability_15d,cp_records_15d,trigger_probability,response_nodes_max,dominant_response_window,is_response_event_3d,is_response_event_7d,is_response_event_15d,is_response_event,first_response_lag_days,delayed_response_event,antecedent_wetness_index,wetness_level,response_level,rain_level,event_class
2015-04-21,12.624140739440918,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185548,99.18871307373048,30.327224731445312,30.84276580810547,1,1,1,0,3.164415121078491,1.0,3.4036593288183212,1.0,13.439782306551933,3.0,25.169409066438675,8.0,27.963572662323713,8.0,29.79500064626336,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.581615328788757,18.42833612859249,25.169409066438675,0.0,7.9205261170864105,7.9205261170864105,72.96513053774834,0.778855486964612,2015-04-14,2015-04-28,15,23.94832618534565,12.624140739440918,E001,188,0.1439509954058193,208,188,0.1439509954058193,208,188,0.1439509954058193,208,0.1439509954058193,188,3,True,True,True,True,3,False,0.0,W0_dry,R2_moderate,P90_heavy,moderate_trigger
2015-05-09,7.424829959869385,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185548,99.18871307373048,30.327224731445312,30.84276580810547,1,1,0,0,1.1883736848831177,1.0,1.1883736848831177,1.0,9.108899801969528,3.0,30.25225980579853,6.0,44.454559326171875,11.0,49.69661320373416,12.0,1.0,1.0,0.0,1.0,1.0,0.0,21.300746202468872,24.560413643717766,41.13265109062195,21.56463599205017,38.290844440460205,56.431400775909424,68.29625082015991,0.45808025063887353,2015-05-07,2015-05-16,10,46.90404808521271,16.916837692260742,E002,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,3,False,False,False,False,0,False,0.0,W0_dry,R0_below_event_threshold,P75_moderate,weak_or_no_response
2015-05-17,18.14055633544922,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185548,99.18871307373048,30.327224731445312,30.84276580810547,1,1,1,1,16.726208448410034,3.0,38.290844440460205,6.0,46.90404808521271,8.0,70.61313006281853,12.0,85.44429159164429,16.0,93.65100583434105,19.0,4.0,2.0,1.0,4.0,2.0,1.0,38.290844440460205,46.90404808521271,70.61313006281853,0.0,0.0,0.0,17.1897891163826,1.1191947341265938,2015-05-10,2015-05-17,8,56.431400775909424,18.14055633544922,E003,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,3,False,False,False,False,0,False,0.1624994396988854,W0_dry,R0_below_event_threshold,P95_extreme,weak_or_no_response
2015-06-06,11.864850044250488,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185548,99.18871307373048,30.327224731445312,30.84276580810547,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,65.04460442066193,9.0,72.96513053774834,11.0,94.84017314016819,14.0,4.0,2.0,2.0,5.0,3.0,2.0,54.974268674850464,65.04460442066193,88.75368639826775,0.0,5.324939072132111,19.965347826480865,128.84520441293716,0.7320104987506711,2015-06-06,2015-06-13,8,17.1897891163826,11.864850044250488,E004,0,0.0,0,0,0.0,0,292,0.22358346094946402,388,0.22358346094946402,292,15,False,False,True,True,15,True,0.10665353925165255,W0_dry,R2_moderate,P75_moderate,delayed_trigger
2015-06-25,25.376739501953125,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185548,99.18871307373048,30.327224731445312,30.84276580810547,1,1,1,1,5.300495624542236,1.0,19.94090437889099,3.0,25.265843451023102,5.0,37.13069349527359,6.0,92.10496217012405,12.0,110.09582403302193,17.0,2.0,0.0,0.0,6.0,2.0,2.0,19.94090437889099,51.783602476119995,75.7210807800293,10.858915328979492,60.14036750793457,82.03875017166138,138.66471767425537,1.5656362845051048,2015-06-18,2015-07-02,15,105.45801138877869,25.376739501953125,E005,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,3,False,False,False,False,0,False,0.056383565483024166,W0_dry,R0_below_event_threshold,P95_extreme,weak_or_no_response
2015-07-03,18.062253952026367,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185548,99.18871307373048,30.327224731445312,30.84276580810547,1,1,1,1,34.03605270385742,3.0,60.14036750793457,6.0,105.45801138877869,10.0,122.64780050516129,13.0,122.64780050516129,13.0,187.6924049258232,22.0,5.0,3.0,2.0,9.0,5.0,4.0,79.61129665374756,105.45801138877869,122.64780050516129,0.0,3.83612871170044,49.19393754005433,81.96214640140535,1.3145562694734125,2015-06-26,2015-07-08,13,82.03875017166138,22.675390243530277,E006,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,3,False,False,False,False,0,False,0.6965384599407071,W1_moderate,R0_below_event_threshold,P95_extreme,weak_or_no_response
2015-07-13,21.66771697998047,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185548,99.18871307373048,30.327224731445312,30.84276580810547,1,1,1,1,12.294437170028688,2.0,16.13056588172913,3.0,89.48184657096863,9.0,140.2538588643074,14.0,156.84062033891678,17.0,191.70738512277603,21.0,6.0,4.0,3.0,9.0,5.0,4.0,79.61129665374756,120.00325059890747,140.71005445718765,11.395654678344728,20.542656898498535,22.663813352584842,86.34888815879822,1.6491180675462147,2015-07-08,2015-07-20,13,58.34093976020813,21.66771697998047,E007,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,3,False,False,False,False,0,False,0.720826421272376,W1_moderate,R0_below_event_threshold,P95_extreme,weak_or_no_response
2015-07-21,2.121156454086304,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185548,99.18871307373048,30.327224731445312,30.84276580810547,1,0,0,0,9.147002220153809,1.0,20.542656898498535,2.0,58.34093976020813,6.0,167.22079634666443,15.0,199.05099421739578,20.0,199.05099421739578,20.0,8.0,5.0,4.0,10.0,5.0,4.0,79.61129665374756,120.00325059890747,172.71420288085938,0.0,0.0,36.557190895080566,151.84890937805176,0.6194704061333656,2015-07-14,2015-07-21,8,22.66381335258484,11.395654678344728,E008,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,3,False,False,False,False,0,False,0.7464232270790921,W1_moderate,R0_below_event_threshold,below_P75_wet_background,weak_or_no_response
2015-07-29,3.3754680156707764,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185548,99.18871307373048,30.327224731445312,30.84276580810547,1,0,0,0,0.0,0.0,0.0,0.0,22.663813352584842,3.0,127.8058023452759,12.0,183.9823615550995,18.0,201.1721506714821,21.0,7.0,4.0,3.0,10.0,5.0,4.0,79.61129665374756,120.00325059890747,172.71420288085938,14.503554463386536,33.18172287940979,60.3096067905426,200.7806056290865,0.4882702816818236,2015-07-29,2015-08-05,8,36.557190895080566,10.004392623901367,E009,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,3,False,False,False,False,0,False,0.5560663233613224,W1_moderate,R0_below_event_threshold,below_P75_wet_background,weak_or_no_response
2015-08-06,27.12788391113281,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185548,99.18871307373048,30.327224731445312,30.84276580810547,1,1,1,1,15.057140707969666,3.0,33.18172287940979,6.0,36.557190895080566,7.0,97.01928710937501,14.0,205.8991436958313,23.0,225.86449152231216,27.0,6.0,1.0,1.0,11.0,5.0,4.0,49.19393754005433,112.71598529815674,172.71420288085938,0.0,0.0,89.25783121585846,182.19336761534214,1.8787256752498764,2015-07-30,2015-08-06,8,60.3096067905426,27.12788391113281,E010,0,0.0,0,0,0.0,0,82,0.06278713629402756,129,0.06278713629402756,82,15,False,False,False,False,0,False,0.5574606780057986,W1_moderate,R0_below_event_threshold,P95_extreme,weak_or_no_response
2015-08-18,22.251014709472656,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185548,99.18871307373048,30.327224731445312,30.84276580810547,1,1,1,1,44.74690818786621,3.0,46.33797359466553,4.0,88.522998213768,8.0,121.29120707511902,14.0,170.48514461517334,19.0,290.4883952140808,29.0,7.0,2.0,2.0,15.0,7.0,6.0,50.305214166641235,88.522998213768,169.34195280075073,20.668842911720276,36.78036983311176,96.92287231981754,169.6896101385355,1.9580322980057838,2015-08-14,2015-08-24,11,105.36935813724995,26.645830154418945,E011,82,0.06278713629402756,129,82,0.06278713629402756,129,82,0.06278713629402756,129,0.06278713629402756,82,3,False,False,False,False,0,False,0.8873886530245085,W1_moderate,R0_below_event_threshold,P95_extreme,weak_or_no_response
2015-08-28,16.69036102294922,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185548,99.18871307373048,30.327224731445312,30.84276580810547,1,1,1,1,18.411279678344727,1.0,35.616803243756294,4.0,123.78063781559467,10.0,187.46571262180805,18.0,210.1295259743929,21.0,315.27151496708393,30.0,10.0,6.0,5.0,17.0,10.0,8.0,88.16383457183838,123.78063781559467,187.46571262180805,8.86042708158493,31.59591156244278,75.66654521226883,108.56344068050385,2.073389098692216,2015-08-21,2015-09-04,15,83.90307582914829,18.411279678344727,E012,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,3,False,False,False,False,0,False,1.279090064539991,W3_very_wet,R0_below_event_threshold,P95_extreme,weak_or_no_response
2015-09-05,10.126457214355469,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185548,99.18871307373048,30.327224731445312,30.84276580810547,1,1,0,0,17.072112917900085,3.0,31.59591156244278,5.0,83.90307582914829,10.0,199.19479431211948,17.0,235.75198520720005,24.0,296.2140814214945,31.0,11.0,7.0,6.0,17.0,8.0,7.0,88.16383457183838,140.4709988385439,200.7806056290865,7.645413398742676,33.94417643547058,61.39671230316162,68.27948564291,1.6601383644075178,2015-08-30,2015-09-12,14,75.66654521226883,11.916955947875977,E013,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,3,False,False,False,False,0,False,1.129115598268584,W2_wet,R0_below_event_threshold,P75_moderate,weak_or_no_response
2015-09-16,13.455171585083008,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185548,99.18871307373048,30.327224731445312,30.84276580810547,1,1,1,0,8.685882806777954,3.0,34.98464584350586,6.0,75.49200093746185,13.0,185.66882194578648,22.0,270.62947918474674,30.0,299.77666033804417,35.0,11.0,5.0,4.0,17.0,7.0,6.0,88.16383457183838,140.4709988385439,217.1849624067545,5.311481475830078,5.805830180644989,12.19425481557846,19.311031512916088,1.8047493829003804,2015-09-09,2015-09-23,15,54.245647609233856,13.455171585083008,E014,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,3,False,False,False,False,0,False,1.0766499744509426,W2_wet,R0_below_event_threshold,P90_heavy,weak_or_no_response
2015-09-25,3.221391439437866,CHIRPS-2.0-global-daily-tif-p05-crop,98.66454315185548,99.18871307373048,30.327224731445312,30.84276580810547,1,0,0,0,2.2229681611061096,1.0,7.534449636936188,2.0,52.82965689897537,8.0,140.44368994235992,19.0,245.81304807960987,28.0,309.49812288582325,36.0,8.0,3.0,2.0,17.0,8.0,6.0,55.53500556945801,140.4709988385439,217.1849624067545,0.0,1.4384137392044067,1.5371462032198906,16.00167929381132,0.9618619521131433,2015-09-18,2015-10-01,14,12.19425481557846,5.311481475830078,E015,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,3,False,False,False,False,0,False,0.9494642397383333,W2_wet,R0_below_event_threshold,below_P75_wet_background,weak_or_no_response
